,head,variable,value,prob
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_8,3.61
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_9,9.91
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_10,37.81
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_12,46.67
0,Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_14,1.91
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,l_text_topics,topic_10,64.45
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,l_text_topics,topic_12,26.58
1,Course1_W1-S1-L2_Introduction_Part_2_10-28,l_text_topics,topic_14,8.86
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,l_text_topics,topic_7,5.7
2,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,l_text_topics,topic_12,94.08
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,topic_4,6.64
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,topic_5,1.75
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,topic_11,9.3
3,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,topic_12,82.15
4,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,l_text_topics,topic_12,99.79
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,l_text_topics,topic_1,9.98
5,Course1_W1-S2-L4_Markov_Processes_Part_2_6-28,l_text_topics,topic_12,89.78
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_7,28.78
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_11,16.03
6,Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_12,55.04
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_7,25.37
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_11,35.15
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_12,39.37
8,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,l_text_topics,topic_7,88.48
8,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,l_text_topics,topic_12,11.32
9,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_7,18.89
9,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_11,80.97
10,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,l_text_topics,topic_7,71.67
10,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,l_text_topics,topic_11,28.16
11,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,l_text_topics,topic_7,61.82
11,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,l_text_topics,topic_11,37.73
12,Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_7,14.1
12,Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_8,11.27
12,Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_11,7.98
12,Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_12,66.22
13,Course1_W10-S1-L1_Introduction_1-02,l_text_topics,topic_6,37.98
13,Course1_W10-S1-L1_Introduction_1-02,l_text_topics,topic_12,46.45
13,Course1_W10-S1-L1_Introduction_1-02,l_text_topics,topic_14,14.53
14,Course1_W10-S1-L2_Recap_of_GLMs_7-40,l_text_topics,topic_6,99.78
15,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,l_text_topics,topic_6,47.25
15,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,l_text_topics,topic_12,52.44
16,Course1_W10-S1-L4_GLMs_for_Tagging_Part_2_7-35,l_text_topics,topic_6,52.83
16,Course1_W10-S1-L4_GLMs_for_Tagging_Part_2_7-35,l_text_topics,topic_12,46.96
17,Course1_W10-S1-L5_GLMs_for_Tagging_Part_3_7-06,l_text_topics,topic_4,1.36
17,Course1_W10-S1-L5_GLMs_for_Tagging_Part_3_7-06,l_text_topics,topic_6,98.36
18,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,l_text_topics,topic_6,52.45
18,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,l_text_topics,topic_11,21.97
18,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,l_text_topics,topic_12,20.59
18,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,l_text_topics,topic_14,4.77
19,Course1_W10-S2-L1_Introduction_0-37,l_text_topics,topic_6,8.09
19,Course1_W10-S2-L1_Introduction_0-37,l_text_topics,topic_12,50.76
19,Course1_W10-S2-L1_Introduction_0-37,l_text_topics,topic_14,39.41
20,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,l_text_topics,topic_1,5.64
20,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,l_text_topics,topic_12,37.56
20,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,l_text_topics,topic_14,56.51
21,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_1,9.67
21,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_6,4.04
21,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_12,18.18
21,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_14,68.02
22,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_6,43.32
22,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_12,38.81
22,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_14,17.73
23,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_4,1.43
23,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_6,41.27
23,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_11,1.95
