,0
0,ad_conversion
1,aac
2,aal
3,ab_test
4,abduction
5,abox
6,absity
7,absolute_discounting
8,absolute_temporal_expression
9,abstract_word
10,accented_syllables
11,accessible
12,accessing_referent
13,accomplishment_expressions
14,accuracy
15,achievement_expressions
16,acknowledgment_speech
17,act
18,activation
19,activity_expressions
20,acuteeval
21,ad_hoc_retrieval
22,add_gate
23,addk
24,addone_smoothing
25,adequacy
26,adjacency_pairs
27,adjective
28,adjective_phrase
29,adjectives
30,adjunction_tag
31,adverb
32,syntactic_position
33,temporal
34,adverbs
35,adversarial_evaluation
36,aed
37,affective
38,affix
39,affricate_sound
40,agent_thematic_role
41,agglomerative_clustering
42,agglutinative
43,language
44,aiff_file
45,aishell
46,algol
47,algorithm
48,bytepair_encoding
49,cky
50,kneserney_discounting
51,lesk
52,minimum_edit_distance
53,naive_bayes_classifier
54,pointwise_mutual
55,information
56,semantic_role_labeling
57,simplified_lesk
58,texttiling
59,unsupervised_word_sense
60,disambiguation
61,viterbi
62,alignment
63,asr
64,minimum_cost
65,minimum_edit_distance
66,allwords_task_wsd
67,allen_relations
68,allocational_harm
69,alveolar_sound
70,ambiguity
71,amount_partofspeech
72,brown_corpus
73,coordination
74,meaning
75,representations
76,referring_expressions
77,partofspeech
78,resolution_tag
79,word_sense
80,american_structuralism
81,amplitude
82,signal
83,rms
84,anaphor
85,anaphora
86,anaphoricity_detector
87,anchor_texts
88,anchors_regular
89,expressions
90,antecedent
91,antonym
92,apple_aiff
93,approximant_sound
94,approximate
95,randomization
96,arabic
97,egyptian
98,aramaic
99,arc
100,arc_eager
101,arc_standard
102,argumentation_mining
103,argumentation_schemes
104,argumentative_relations
105,argumentative_zoning
106,aristotle
107,arity
108,arpa
109,arpabet
110,article_partofspeech
111,articulatory_phonetics
112,articulatory_synthesis
113,aspect
114,asr
115,confidence
116,association
117,atis
118,corpus
119,atn
120,atrans
121,attachment_ambiguity
122,attention_mechanism
123,attribution_coherence
124,relation
125,augmentative
126,communication
127,authorship_attribution
128,autoregressive_generation
129,auxiliary
130,babbage_c
131,babelnet
132,backoff
133,smoothing
134,backprop
135,backpropagation_through
136,time
137,backtrace
138,minimum_edit
139,distance
140,backtranslation
141,backusnaur_form
142,backward_chaining
143,backward_composition
144,backwardlooking_center
145,bag_words
146,ir
147,bagofwords
148,bakeoff
149,speech_recognition
150,competition
151,bargein
152,baseline
153,frequent_sense
154,take_first_sense
155,basic_emotions
156,batch_training
157,bayes_rule
158,dropping_denominator
159,bayesian_inference
160,bdi
161,beam_search
162,beam_width
163,bear_pitch_accent
164,berkeley_restaurant
165,project
166,bernoulli_naive_bayes
167,bert
168,affect
169,bestworst_scaling
170,bias_amplification
171,bias_term
172,bidirectional_rnn
173,bigram
174,bilabial
175,binary_branching
176,binary_nb
177,binary_tree
178,bio
179,bio_tagging
180,ner
181,bioes
182,bitext
183,bits_measuring_entropy
184,blank_ctc
185,bleu
186,bloom_filters
187,bm
188,bnf_backusnaur_form
189,bootstrap
190,bootstrap_algorithm
191,bootstrap_test
192,bootstrapping
193,bound_pronoun
194,boundary_tones
195,bpe
196,bracketed_notation
197,bridging_inference
198,broadcast_news
199,speech_recognition
200,brown_corpus
201,original_tagging
202,bytepair_encoding
203,callhome
204,candide
205,canonical_form
206,cantonese
207,capture_group
208,cardinal_number
209,cascade
210,regular_expression
211,eliza
212,sensitivity_regular
213,expression_search
214,case_folding
215,case_frame
216,cataphora
217,categorial_grammar
218,conceptual_dependency
219,celex
220,centering_theory
221,centroid
222,cepstrum
223,cfg
224,context_free_grammar
225,chain_rule
226,channels_stored
227,waveforms
228,chart_parsing
229,chatbots
230,chime
231,chinese
232,verbframed_language
233,characters
234,words_brother
235,chirpy_cardinal
236,chomsky_normal_form
237,chomskyadjunction
238,chunking
239,citizen_kane
240,cky_algorithm
241,claims
242,clarification_questions
243,classbased_ngram
244,clause
245,clefts
246,clitic
247,closed_class
248,closed_vocabulary
249,closure_stop
250,cluster
251,clustering
252,word_sense
253,disambiguation
254,cnf
255,chomsky_normal_form
256,coarse_senses
257,cochlea
258,cockekasamiyounger
259,cky
260,coda_syllable
261,code_switching
262,coherence
263,entitybased
264,relations
265,cohesion
266,lexical
267,cold_languages
268,collection_ir
269,collocation
270,combinatory_categorial
271,grammar
272,commissive_speech_act
273,common_ground
274,common_nouns
275,complement
276,complementizers
277,completeness_fol
278,componential_analysis
279,compression
280,computational_grammar
281,coder_cgc
282,computational_semantics
283,concatenation
284,concept_error_rate
285,conceptual_dependency
286,concordance_semantic
287,concrete_word
288,conditional_random_field
289,confidence
290,asr
291,relation_extraction
292,confidence_values
293,configuration
294,confusion_matrix
295,conjoined_phrase
296,conjunctions
297,connectionist
298,connotation_frame
299,connotation_frames
300,connotations
301,consonant
302,constants_fol
303,constative_speech_act
304,constituency
305,constituent
306,book_titles
307,constraint_grammar
308,construction_grammar
309,content_planning
310,context_embedding
311,contextfree_grammar
312,chomsky_normal_form
313,invention
314,nonterminal_symbol
315,productions_rules
316,terminal_symbol
317,weak_strong
318,equivalence
319,continuation_rise
320,conversation_analysis
321,conversational_agents
322,conversational_analysis
323,conversational_implicature
324,conversational_speech
325,convex
326,coordinate_noun_phrase
327,coordination_ambiguity
328,copula
329,coraal
330,corefer
331,coreference_chain
332,coreference_resolution
333,gender_agreement
334,hobbs_tree_search
335,number_agreement
336,person_agreement
337,recency_preferences
338,selectional_restrictions
339,syntactic_binding
340,verb_semantics
341,coronal_sound
342,corpora
343,corpus
344,brown
345,cass_phonetic
346,mandarin
347,fisher
348,kiel_german
349,regular_expression
350,searching_inside
351,switchboard
352,timebank
353,wall_street_journal
354,correction_act_detection
355,cosine
356,similarity_metric
357,cost_function
358,count_nouns
359,counters
360,counts
361,treating_low_zero
362,crf
363,compared_hmm
364,viterbi_inference
365,crfs
366,learning
367,crossbrackets
368,crossentropy
369,crossentropy_loss
370,crossvalidation
371,fold
372,crowdsourcing
373,ctc
374,currying
375,cycles_wave
376,cycles_per_second
377,datasheet
378,date
379,fully_qualified_normalization
380,dative_alternation
381,dbpedia
382,debiasing
383,decision_boundary
384,decision_tree
385,declarative_sentence
386,decoding
387,viterbi
388,fol
389,deep_neural_networks
390,deep_learning
391,deep_role
392,definite_reference
393,degree_adverb
394,delexicalization
395,denotation
396,dental_sound
397,dependency_grammar
398,dependency_tree
399,direct_formal_language
400,description_logics
401,det
402,determiner
403,determiners
404,development_test_set
405,devtest
406,dft
407,dialogue
408,dialogue_act_correction
409,dialogue_acts
410,dialogue_manager_design
411,dialogue_policy
412,dialogue_systems
413,design_evaluation
414,diathesis_alternation
415,diff_program
416,digit_recognition
417,digitization
418,dilated_convolutions
419,dimension
420,diphthong
421,direct_derivation
422,formal_language
423,directional_adverb
424,directive_speech_act
425,disambiguation
426,parsing_syntactic
427,discount
428,discounting
429,discourse_segment
430,discourse_connectives
431,discourse_deixis
432,discourse_model
433,discourse_parsing
434,discoursenew
435,discourseold
436,discovery_procedure
437,discrete_fourier_transform
438,discriminative_model
439,disfluency
440,disjunction
441,pipe_regular_expressions
442,square_braces_regular_expression
443,dispreferred_response
444,distance
445,cosine
446,distant_supervision
447,distributional_hypothesis
448,distributional_similarity
449,divergences_languages_mt
450,document_ir
451,document_frequency
452,document_vector
453,domain
454,domination_syntax
455,dot_product
456,dotproduct_attention
457,dragon_systems
458,dropout
459,duration
460,temporal_expression
461,dynamic_programming
462,viterbi
463,dynamic_time_warping
464,edgefactored
465,edit_distance
466,minimum_algorithm
467,effect_size
468,elaboration_coherence
469,relation
470,eliza
471,implementation
472,sample_conversation
473,elman_networks
474,elmo
475,affect
476,deleted_interpolation
477,embedded_verb
478,embeddings
479,cosine_similarity
480,skipgram_learning
481,sparse
482,tfidf
483,wordvec
484,emission_probabilities
485,emolex
486,emotion
487,empty_category
488,encoderdecoder
489,endtoend_training
490,endpointing
491,english
492,lexical_differences
493,french
494,simplified_grammar_rules
495,verbframed
496,entity_dictionary
497,entity_grid
498,entity_linking
499,entity_linking
500,entitybased_coherence
501,entropy
502,perplexity
503,crossentropy
504,perword_rate
505,error_backpropagation
506,espnet
507,ethos
508,euclidean_distance
509,regularization
510,eugene_onegin
511,eulers_formula
512,europarl
513,evalb
514,evaluating_parsers
515,evaluation
516,fold_crossvalidation
517,ab_test
518,bleu_mt
519,comparing_models
520,crossvalidation
521,development_test_set
522,devset
523,development_test_set
524,dialogue_systems
525,f_fmeasure
526,fmeasure
527,fmeasure
528,ner
529,factoid_question
530,faiss
531,false_negatives
532,false_positives
533,farsi_verbframed
534,fast_fourier_transform
535,fasttext
536,fastus
537,feature_cutoff
538,feature_interactions
539,feature_selection
540,information_gain
541,feature_template
542,feature_templates
543,partofspeech_tagging
544,feature_vectors
545,federalist_papers
546,feedforward_network
547,fenceposts
548,fft
549,file_format_wav
550,filled_pause
551,filler
552,final_fall
553,first_order_logic_see_fol
554,firstorder_cooccurrence
555,flap_phonetic
556,fluency
557,fol
558,verifiability
559,expressiveness_functions
560,inference_terms
561,fold_crossvalidation
562,forget_gate
563,formal_language
564,formant
565,formant_synthesis
566,forward_chaining
567,forward_composition
568,forwardlooking_centers
569,fosler_e_see
570,foslerlussier_e
571,fragment_word
572,frame
573,semantic
574,frame_elements
575,framenet
576,frames
577,free_word_order
578,freebase
579,freebaseqa
580,frequency
581,signal
582,fricative_sound
583,frump
584,fully_qualified_date
585,expressions
586,fullyconnected
587,function_word
588,functional_grammar
589,functions_fol
590,fundamental_frequency
591,fusion_language
592,gaussian
593,prior_weights
594,gazetteer
595,general_inquirer
596,generalize
597,generalized_semantic_role
598,generation
599,sentences_test
600,cfg_grammar
601,templatebased
602,generative_grammar
603,generative_lexicon
604,generative_model
605,generative_models
606,generative_syntax
607,generator
608,generics
609,genitive_np
610,german
611,gerundive_postmodifier
612,gilbert_sullivan
613,givennew
614,gloss
615,glosses
616,glottal
617,glottal_stop
618,glottis
619,godzilla_speaker
620,gold_labels
621,goodturing
622,gradient
623,grammar
624,constraint
625,construction
626,headdriven_phrase
627,structure_hpsg
628,lexicalfunctional
629,lfg
630,minimalist_program
631,tree_adjoining
632,grammar
633,binary_branching
634,categorial
635,ccg
636,combinatory_categorial
637,generative_inversion_transduction
638,strong_equivalence
639,weak_equivalence
640,grammatical_function
641,grammatical_relation
642,grammatical_sentences
643,greedy_re_patterns
644,greek
645,grep
646,gricean_maxims
647,grounding
648,gus
649,h_pitch_accent
650,hamilton_alexander
651,hamming
652,hansard
653,hanzi
654,harmonic
655,harmonic_mean
656,hays_d
657,head_finding
658,headdriven_phrase
659,structure_grammar
660,hpsg
661,heaps_law
662,hearst_patterns
663,hebrew
664,heldout
665,herdans_law
666,hertz_unit_measure
667,hidden
668,hidden_layer_representation
669,input_hidden_units
670,hindi
671,hindi_verbframed
672,hkust
673,hmm
674,formal_definition
675,history_speech_recognition
676,initial_distribution
677,observation_likelihood
678,observations
679,simplifying_assumptions
680,pos_tagging
681,transition_probabilities
682,hobbs_algorithm
683,hobbs_tree_search_algorithm
684,pronoun
685,resolution
686,holonym
687,homonymy
688,hot_languages
689,hotpotqa
690,hungarian
691,partofspeech_tagging
692,hyperarticulation
693,hypernym
694,lexicosyntactic_patterns
695,hyperparameter
696,hyperparameters
697,hyponym
698,hz_unit_measure
699,ibm_models
700,ibm_thomas_j_watson
701,research_center
702,idf
703,idf_term_weighting
704,reasoning_fol
705,immediately_dominates
706,imperative_sentence
707,implicature
708,implicit_argument
709,implicit_confirmation
710,implied_hierarchy
711,description_logics
712,indefinite_article
713,indefinite_reference
714,inference_fol
715,inferencebased_learning
716,infinitives
717,infoboxes
718,information_structure
719,information_extraction_ie
720,bootstrapping
721,partial_parsing
722,information_gain
723,feature_selection
724,information_retrieval
725,inner_ear
726,inner_product
727,instance_checking
728,institutional_review_board
729,intensity_sound
730,intent_determination
731,intercept
732,interjections
733,intermediate_phrase
734,international_phonetic_alphabet
735,interpersonal_stance
736,interpolated_kneserney_discounting
737,interpolated_precision
738,interpolation_smoothing
739,interpretable
740,interpretation
741,intonation_phrases
742,intransitive_verbs
743,intrinsic_evaluation
744,inversion_transduction
745,grammar_itg
746,inverted_index
747,io
748,iob_tagging
749,temporal_expressions
750,ipa
751,ir
752,idf_term_weighting
753,term_weighting
754,vector_space_model
755,irbased_qa
756,irb
757,isa
758,isa
759,iso
760,isolating_language
761,isrl
762,itg_inversion_transduction_grammar
763,japanese
764,jay_john
765,joint_intention
766,kaldi
767,katz_backoff
768,kbp
769,kenlm
770,kl_divergence
771,klone
772,klatt_formant_synthesizer
773,kleene
774,sneakiness_matching
775,kleene
776,kneserney_discounting
777,knowledge_base
778,knowledge_claim
779,knowledge_graphs
780,knowledgebased
781,korean
782,krl
783,kullbackleibler_divergence
784,l_pitch_accent
785,lh_pitch_accent
786,l_regularization
787,l_regularization
788,labeled_precision
789,labeled_recall
790,labial_place_articulation
791,labiodental_consonants
792,lambda_notation
793,language_identification
794,universal_language_id
795,language_id
796,language_model
797,laplace_smoothing
798,laplace_smoothing
799,pmi
800,larynx
801,lasso_regression
802,latent_semantic_analysis
803,lateral_sound
804,ldc
805,learning_rate
806,lemma_versus_wordform
807,lemmatization
808,lesk_algorithm
809,levenshtein_distance
810,lexical_category
811,lexical_cohesion
812,lexical_database
813,lexical_gap
814,lexical_semantics
815,lexical_stress
816,lexical_trigger
817,lexical_answer_type
818,lexical_sample_task
819,wsd
820,lexicalfunctional
821,grammar_lfg
822,lexicosyntactic_pattern
823,lexicon
824,librispeech
825,likelihood
826,linear_chain_crf
827,linear_classifiers
828,linear_interpolation
829,ngrams
830,linearly_separable
831,linguistic_data
832,consortium
833,linguistic_discourse_model
834,link_grammar
835,list_coherence_relation
836,listen_attend_spell
837,liwc
838,lm
839,lob_corpus
840,localization
841,locationbased_attention
842,locative
843,locative_adverb
844,log_used
845,log_probabilities
846,log_used_compress
847,log_speech
848,log_likelihood_ratio
849,log_odds_ratio
850,log_probabilities
851,logical_connectives
852,logical_vocabulary
853,logistic_function
854,logistic_regression
855,conditional_maximum
856,likelihood_estimation
857,gaussian_priors
858,regularization
859,relation_neural_networks
860,long_shortterm_memory
861,longdistance_dependency
862,traces_penn
863,treebank
864,whquestions
865,lookahead_re
866,loss
867,loudness
868,low_frame_rate
869,lowresourced_languages
870,lpc_linear_predictive_coding
871,latent_semantic_analysis
872,lsi
873,lstm
874,lunar
875,lunar
876,machine_learning
877,ner
878,machine_translation
879,macroaveraging
880,madison_james
881,mae
882,mandarin
883,manhattan_distance
884,regularization
885,manner_adverb
886,manner_articulation
887,marker_passing_wsd
888,markov
889,markov_assumption
890,markov_chain
891,formal_definition
892,initial_distribution_ngram
893,state_transition_probabilities
894,markov_model
895,formal_definition
896,history
897,marx_g
898,mass_nouns
899,maxent
900,maxim_gricean
901,maximum_entropy
902,maximum_spanning_tree
903,mayan
904,mcnemars_test
905,mctest
906,mean_average_precision
907,mean_opinion_score
908,mean_reciprocal_rank
909,meaning_representation
910,set_symbols
911,early_uses
912,languages
913,mechanical_indexing
914,mechanical_turk
915,mel_scale
916,mention_detection
917,mentionpair
918,mentions
919,meronym
920,meronymy
921,mert_training_mt
922,mesh_medical_subject_headings
923,message_understanding_conference
924,metarule
925,meteor
926,metonymy
927,microplanner
928,microaveraging
929,microsoft_wav_format
930,minibatch
931,minimum_edit_distance
932,speech_recognition
933,minimum_edit_distance
934,minimum_edit_distance_algorithm
935,minimum_error_rate
936,mle
937,ngrams
938,ngrams_intuition
939,mlp
940,modal_verb
941,model
942,model_card
943,modified_kneserney
944,modified_ngram_precision
945,modus_ponens
946,montague_semantics
947,monte_carlo_search
948,morpheme
949,mos_mean_opinion_score
950,moses_michelangelo_statue
951,moses_mt_toolkit
952,frequent_sense
953,mrr
954,mt_divergence
955,postediting
956,mulaw
957,muc
958,muc_fmeasure
959,multilayer_perceptrons
960,multihead_selfattention_layers
961,multinomial_logistic_regression
962,multinomial_naive_bayes
963,multinomial_naive_bayes_classifier
964,multiword_expressions
965,mwe
966,nbest_list
967,ngram
968,markov_chain
969,absolute_discounting
970,addone_smoothing
971,markov_chain_approximation
972,markov_chain_generators
973,markov_chain_equation
974,markov_chain_interpolation
975,katz_backoff
976,kenlm
977,kneserney_discounting
978,logprobs
979,normalizing
980,parameter_estimation
981,sensitivity_corpus
982,smoothing
983,srilm
984,test_set
985,training_set
986,unknown_words
987,naive_bayes
988,multinomial
989,simplifying_assumptions
990,naive_bayes_assumption
991,naive_bayes_classifier
992,use_text_categorization
993,named_entity
994,list_types
995,named_entity_recognition
996,nasal_sound
997,nasal_tract
998,natural_questions
999,negative_log_likelihood_loss
1000,neodavidsonian
1001,ner
1002,neural_networks
1003,relation_logistic
1004,regression
1005,newline_character
1006,nist_mt_evaluation
1007,noisyor
1008,nombank
1009,nominal
1010,noncapturing_group
1011,nonfinite_postmodifier
1012,nongreedy
1013,nonlogical_vocabulary
1014,nonstandard_words
1015,nonstationary_process
1016,nonterminal_symbols
1017,normal_form
1018,normalization
1019,temporal
1020,normalization_probabilities
1021,normalizing
1022,abstract_noun
1023,common_noun
1024,noun_phrase
1025,constituents
1026,nouns
1027,np
1028,nucleus
1029,nucleus_syllable
1030,null_hypothesis
1031,nyquist_frequency
1032,observation_likelihood
1033,role_viterbi
1034,onehot_vector
1035,onset_syllable
1036,ontology
1037,ontonotes
1038,oov_vocabulary_words
1039,oov
1040,oov_rate
1041,open_class
1042,open_information_extraction
1043,open_vocabulary_system
1044,unknown_words
1045,operation_list
1046,operator_precedence
1047,optionality_determiners
1048,use_regular_expressions
1049,oral_tract
1050,ordinal_number
1051,orthography
1052,opaque
1053,transparent
1054,output_gate
1055,overfitting
1056,pvalue
1057,paired
1058,palatal_sound
1059,palate
1060,palatoalveolar_sound
1061,parallel_corpus
1062,parallel_distributed
1063,processing
1064,parallelogram_model
1065,parse_tree
1066,parseval
1067,parsing
1068,ambiguity
1069,chunking
1070,cky
1071,cyk_evaluation
1072,relation_grammars
1073,syntactic_wellformed_substring
1074,part_speech
1075,used_cfg
1076,partofspeech
1077,adjective
1078,adverb
1079,closed_class
1080,interjection
1081,noun
1082,open_class
1083,subtle_distinction
1084,verb
1085,partofspeech_tagger
1086,parts_taggit
1087,partofspeech_tagging
1088,partofspeech_ambiguity
1089,amount_ambiguity
1090,brown_corpus
1091,morphological_analysis
1092,feature_templates
1093,hungarian
1094,turkish
1095,unknown_words
1096,partwhole
1097,partial_parsing
1098,particle
1099,parts_tagger
1100,parts_speech
1101,pathos
1102,pattern_regular_expression
1103,pcm_pulse_code
1104,modulation
1105,pdp
1106,pdtb
1107,penn_discourse_treebank
1108,penn_treebank
1109,tagset
1110,penn_treebank
1111,tokenization
1112,perword_entropy
1113,perceptron
1114,period_wave
1115,perplexity
1116,weighted_average
1117,branching_factor
1118,crossentropy
1119,personal_pronoun
1120,personality
1121,persuasion
1122,phone
1123,phonetics
1124,articulatory
1125,phonotactics
1126,phrasal_verb
1127,phrasebased_translation
1128,phrasestructure_grammar
1129,pii
1130,pipe
1131,the_pirates_penzance
1132,pitch
1133,pitch_accent
1134,tobi
1135,pitch_extraction
1136,pitch_track
1137,place_articulation
1138,planning
1139,speech_acts
1140,shared_plans
1141,pleonastic
1142,plosive_sound
1143,plural
1144,pointwise_mutual
1145,information
1146,polysynthetic_language
1147,porter_stemmer
1148,pos
1149,positional_embeddings
1150,possessive_np
1151,possessive_pronoun
1152,postediting
1153,postdeterminer
1154,postings
1155,postmodifier
1156,postposed_constructions
1157,postposition
1158,potts_diagram
1159,power_signal
1160,pp
1161,ppmi
1162,praat
1163,precedence
1164,precedence_operator
1165,precision
1166,mt_evaluation
1167,ner
1168,modified_ngram_mt
1169,precisionrecall_curve
1170,predeterminer
1171,predicate
1172,predicateargument
1173,preference_semantics
1174,premises
1175,preposed_constructions
1176,prepositional_phrase
