head,variable,value
Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_1
Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_11
Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_1
Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_7
Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,topic_4
Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,topic_12
Course1_W8-S2-L5_Features_and_Beam_Search_12-10,l_text_topics,topic_14
Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_10
Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_12
Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_5
Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_7
Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_11
Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_5
Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_8
Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_10
Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_12
Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_12
Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_7
Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_11
Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_12
Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_11
Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,topic_10
Course2_W6-S1-L2_Grammar_Transforms_12-05,l_text_topics,topic_1
Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,l_text_topics,topic_1
Course3_W11-S1-L5_-_First_Order_Logic_-_16_slides_07-37,l_text_topics,topic_8
Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,l_text_topics,topic_7
Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,l_text_topics,topic_9
Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,l_text_topics,topic_6
Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_2
Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_14
Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,l_text_topics,topic_2
Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,l_text_topics,topic_9
Course3_W1-S1-L6_-_Background_-_11_slides_16-55,l_text_topics,topic_6
Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_7
Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_8
Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_12
Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,l_text_topics,topic_11
Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,l_text_topics,topic_7
Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,l_text_topics,topic_11
