entity1,entity2,cos_sim_score
Course1_W5-S2-L9_Summary_1-48,Course2_W7-S1-L3_The_Inverted_Index_10-42,
Course1_W3-S1-L1_Introduction_0-28,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,
Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,
Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,
Course1_W4-S2-L1_Introduction_00-17,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,
Course1_W8-S2-L6_Summary_1-12,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,
Course1_W10-S1-L1_Introduction_1-02,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,
Course2_W7-S1-L3_The_Inverted_Index_10-42,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,
Course1_W5-S2-L9_Summary_1-48,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,
Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,
Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,
Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,
Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course1_W10-S1-L1_Introduction_1-02,
Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,Course1_W10-S1-L1_Introduction_1-02,
Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course1_W8-S2-L6_Summary_1-12,
Course1_W3-S1-L1_Introduction_0-28,Course1_W8-S2-L6_Summary_1-12,
Course1_W8-S2-L1_Introduction_0-47,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,
Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,
Course1_W4-S2-L1_Introduction_00-17,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,
Course1_W5-S2-L9_Summary_1-48,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,
Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,
Course1_W8-S2-L1_Introduction_0-47,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,
Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,
Course1_W3-S1-L1_Introduction_0-28,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,
Course1_W8-S2-L1_Introduction_0-47,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,
Course1_W3-S1-L1_Introduction_0-28,Course1_W8-S2-L1_Introduction_0-47,
