entity1,ltt1,cv1,entity2,ltt2,cv2
Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,"[1, 8, 11, 12, 14]","['vi17', 'vi27', 'vi31', 'vi43', 'vi74', 'vi77', 'vi99', 'vi117', 'vi124', 'vi136', 'vi146', 'vi178', 'vi180', 'vi224', 'vi244', 'vi264', 'vi271', 'vi305', 'vi388', 'vi397', 'vi398', 'vi401', 'vi402', 'vi469', 'vi491', 'vi528', 'vi543', 'vi557', 'vi573', 'vi623', 'vi632', 'vi659', 'vi691', 'vi740', 'vi747', 'vi751', 'vi823', 'vi877', 'vi957', 'vi1001', 'vi1024', 'vi1026', 'vi1027', 'vi1063', 'vi1065', 'vi1067', 'vi1074', 'vi1076', 'vi1077', 'vi1078', 'vi1081', 'vi1084', 'vi1087', 'vi1098', 'vi1100', 'vi1122', 'vi1148', 'vi1160', 'vi1167', 'vi1171', 'vi1176', 'vi1179', 'vi1192', 'vi1214', 'vi1218', 'vi1231', 'vi1238', 'vi1299', 'vi1312', 'vi1333', 'vi1394', 'vi1416', 'vi1490', 'vi1507', 'vi1525', 'vi1559', 'vi1584', 'vi1590', 'vi1599', 'vi1620', 'vi1622']",Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,"[1, 8, 11, 12, 14]","['vi17', 'vi43', 'vi55', 'vi60', 'vi70', 'vi83', 'vi124', 'vi146', 'vi223', 'vi253', 'vi264', 'vi266', 'vi342', 'vi388', 'vi425', 'vi469', 'vi557', 'vi641', 'vi747', 'vi751', 'vi757', 'vi758', 'vi941', 'vi957', 'vi1027', 'vi1065', 'vi1068', 'vi1084', 'vi1145', 'vi1148', 'vi1160', 'vi1176', 'vi1218', 'vi1231', 'vi1236', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1353', 'vi1360', 'vi1446', 'vi1597', 'vi1620']"
Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,"[1, 7, 12, 14]","['vi17', 'vi43', 'vi55', 'vi117', 'vi133', 'vi146', 'vi149', 'vi180', 'vi199', 'vi223', 'vi266', 'vi271', 'vi305', 'vi316', 'vi360', 'vi388', 'vi481', 'vi491', 'vi515', 'vi528', 'vi557', 'vi573', 'vi604', 'vi623', 'vi624', 'vi632', 'vi747', 'vi751', 'vi757', 'vi758', 'vi825', 'vi856', 'vi863', 'vi877', 'vi932', 'vi941', 'vi957', 'vi982', 'vi1001', 'vi1024', 'vi1027', 'vi1065', 'vi1067', 'vi1074', 'vi1081', 'vi1084', 'vi1108', 'vi1110', 'vi1130', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1176', 'vi1192', 'vi1214', 'vi1218', 'vi1222', 'vi1226', 'vi1231', 'vi1238', 'vi1299', 'vi1300', 'vi1309', 'vi1312', 'vi1333', 'vi1339', 'vi1360', 'vi1395', 'vi1416', 'vi1419', 'vi1446', 'vi1490', 'vi1493', 'vi1507', 'vi1524', 'vi1559', 'vi1574', 'vi1620']",Course1_W3-S2-L1_Introduction_1-12,"[1, 7, 12, 14]","['vi17', 'vi43', 'vi70', 'vi83', 'vi146', 'vi223', 'vi271', 'vi311', 'vi623', 'vi632', 'vi751', 'vi912', 'vi941', 'vi1063', 'vi1065', 'vi1067', 'vi1068', 'vi1148', 'vi1218', 'vi1231', 'vi1301', 'vi1309', 'vi1333', 'vi1449']"
Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,"[4, 6, 11, 12, 14]","['vi17', 'vi47', 'vi49', 'vi55', 'vi83', 'vi117', 'vi136', 'vi146', 'vi173', 'vi180', 'vi223', 'vi240', 'vi259', 'vi378', 'vi386', 'vi419', 'vi461', 'vi491', 'vi528', 'vi544', 'vi747', 'vi751', 'vi877', 'vi941', 'vi957', 'vi1001', 'vi1027', 'vi1067', 'vi1070', 'vi1074', 'vi1084', 'vi1100', 'vi1113', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1214', 'vi1218', 'vi1231', 'vi1236', 'vi1238', 'vi1262', 'vi1309', 'vi1333', 'vi1416', 'vi1490', 'vi1495', 'vi1507', 'vi1559', 'vi1599', 'vi1611']",Course1_W8-S2-L5_Features_and_Beam_Search_12-10,"[4, 6, 11, 12, 14]","['vi17', 'vi47', 'vi55', 'vi75', 'vi77', 'vi83', 'vi99', 'vi119', 'vi146', 'vi161', 'vi173', 'vi180', 'vi223', 'vi225', 'vi238', 'vi266', 'vi305', 'vi386', 'vi388', 'vi401', 'vi461', 'vi528', 'vi543', 'vi544', 'vi557', 'vi657', 'vi691', 'vi747', 'vi751', 'vi757', 'vi758', 'vi825', 'vi877', 'vi888', 'vi889', 'vi896', 'vi941', 'vi1001', 'vi1018', 'vi1025', 'vi1027', 'vi1065', 'vi1067', 'vi1069', 'vi1074', 'vi1076', 'vi1087', 'vi1127', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1214', 'vi1218', 'vi1231', 'vi1238', 'vi1262', 'vi1299', 'vi1309', 'vi1333', 'vi1360', 'vi1416', 'vi1446', 'vi1490', 'vi1495', 'vi1507', 'vi1559', 'vi1575', 'vi1584', 'vi1597', 'vi1599', 'vi1611', 'vi1626']"
Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,"[8, 10, 12]","['vi17', 'vi27', 'vi29', 'vi43', 'vi55', 'vi74', 'vi89', 'vi136', 'vi146', 'vi180', 'vi266', 'vi346', 'vi386', 'vi388', 'vi491', 'vi493', 'vi528', 'vi557', 'vi573', 'vi585', 'vi598', 'vi684', 'vi706', 'vi747', 'vi751', 'vi757', 'vi758', 'vi763', 'vi838', 'vi877', 'vi878', 'vi882', 'vi912', 'vi957', 'vi964', 'vi1001', 'vi1009', 'vi1026', 'vi1077', 'vi1081', 'vi1084', 'vi1143', 'vi1145', 'vi1148', 'vi1157', 'vi1160', 'vi1167', 'vi1179', 'vi1192', 'vi1218', 'vi1231', 'vi1238', 'vi1299', 'vi1304', 'vi1312', 'vi1333', 'vi1360', 'vi1391', 'vi1408', 'vi1409', 'vi1430', 'vi1439', 'vi1446', 'vi1499', 'vi1501', 'vi1622']",Course1_W5-S1-L1_Opening_Comments_0-25,"[8, 10, 12]","['vi17', 'vi43', 'vi747', 'vi878', 'vi1231']"
Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,"[5, 7, 8, 11]","['vi17', 'vi43', 'vi89', 'vi136', 'vi146', 'vi180', 'vi210', 'vi233', 'vi349', 'vi401', 'vi491', 'vi528', 'vi585', 'vi747', 'vi751', 'vi838', 'vi877', 'vi941', 'vi957', 'vi1001', 'vi1074', 'vi1100', 'vi1122', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1214', 'vi1218', 'vi1231', 'vi1232', 'vi1238', 'vi1255', 'vi1299', 'vi1309', 'vi1312', 'vi1416', 'vi1429', 'vi1439', 'vi1464', 'vi1490', 'vi1507', 'vi1559', 'vi1596']",Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,"[5, 7, 8, 11]","['vi17', 'vi55', 'vi77', 'vi83', 'vi136', 'vi146', 'vi178', 'vi180', 'vi233', 'vi275', 'vi318', 'vi366', 'vi388', 'vi401', 'vi481', 'vi501', 'vi528', 'vi557', 'vi573', 'vi596', 'vi747', 'vi751', 'vi838', 'vi876', 'vi877', 'vi901', 'vi941', 'vi957', 'vi993', 'vi995', 'vi1001', 'vi1063', 'vi1076', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1218', 'vi1231', 'vi1238', 'vi1299', 'vi1309', 'vi1372', 'vi1416', 'vi1439', 'vi1490', 'vi1495', 'vi1507', 'vi1559', 'vi1590', 'vi1597', 'vi1664']"
Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,"[5, 8, 10, 12]","['vi17', 'vi43', 'vi49', 'vi55', 'vi56', 'vi60', 'vi74', 'vi75', 'vi79', 'vi83', 'vi84', 'vi89', 'vi99', 'vi113', 'vi116', 'vi124', 'vi136', 'vi146', 'vi167', 'vi178', 'vi180', 'vi195', 'vi231', 'vi252', 'vi253', 'vi259', 'vi264', 'vi330', 'vi332', 'vi342', 'vi378', 'vi388', 'vi401', 'vi425', 'vi453', 'vi469', 'vi491', 'vi493', 'vi528', 'vi557', 'vi573', 'vi585', 'vi610', 'vi624', 'vi684', 'vi685', 'vi747', 'vi751', 'vi757', 'vi758', 'vi877', 'vi878', 'vi993', 'vi995', 'vi1001', 'vi1024', 'vi1026', 'vi1063', 'vi1067', 'vi1070', 'vi1074', 'vi1081', 'vi1084', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1214', 'vi1215', 'vi1218', 'vi1221', 'vi1231', 'vi1234', 'vi1238', 'vi1299', 'vi1312', 'vi1333', 'vi1352', 'vi1353', 'vi1357', 'vi1358', 'vi1359', 'vi1408', 'vi1409', 'vi1416', 'vi1439', 'vi1490', 'vi1499', 'vi1501', 'vi1507', 'vi1559', 'vi1577', 'vi1597', 'vi1599', 'vi1622', 'vi1660', 'vi1670']",Course2_W1-S1-L1_Course_Introduction_14-11,"[5, 8, 9, 10, 12, 14]","['vi14', 'vi17', 'vi43', 'vi47', 'vi55', 'vi60', 'vi61', 'vi70', 'vi74', 'vi79', 'vi94', 'vi96', 'vi99', 'vi117', 'vi126', 'vi136', 'vi146', 'vi178', 'vi180', 'vi187', 'vi231', 'vi252', 'vi253', 'vi378', 'vi387', 'vi388', 'vi401', 'vi407', 'vi425', 'vi462', 'vi482', 'vi491', 'vi493', 'vi528', 'vi557', 'vi702', 'vi724', 'vi740', 'vi746', 'vi747', 'vi751', 'vi757', 'vi758', 'vi759', 'vi796', 'vi866', 'vi877', 'vi878', 'vi912', 'vi941', 'vi993', 'vi1001', 'vi1024', 'vi1063', 'vi1067', 'vi1068', 'vi1074', 'vi1081', 'vi1084', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1210', 'vi1214', 'vi1218', 'vi1221', 'vi1231', 'vi1238', 'vi1254', 'vi1262', 'vi1299', 'vi1309', 'vi1312', 'vi1332', 'vi1333', 'vi1352', 'vi1353', 'vi1363', 'vi1367', 'vi1369', 'vi1407', 'vi1416', 'vi1421', 'vi1429', 'vi1439', 'vi1490', 'vi1495', 'vi1507', 'vi1536', 'vi1559', 'vi1599', 'vi1611', 'vi1620', 'vi1625', 'vi1627', 'vi1629', 'vi1660', 'vi1661']"
Course1_W7-S1-L2_Two_Example_Problems_11-19,"[7, 11, 12]","['vi17', 'vi27', 'vi43', 'vi55', 'vi117', 'vi133', 'vi146', 'vi173', 'vi342', 'vi360', 'vi388', 'vi491', 'vi557', 'vi667', 'vi747', 'vi751', 'vi796', 'vi825', 'vi828', 'vi888', 'vi894', 'vi896', 'vi941', 'vi982', 'vi1023', 'vi1027', 'vi1074', 'vi1077', 'vi1081', 'vi1084', 'vi1145', 'vi1148', 'vi1160', 'vi1192', 'vi1214', 'vi1218', 'vi1231', 'vi1262', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1391', 'vi1395', 'vi1399', 'vi1403', 'vi1416', 'vi1481', 'vi1490', 'vi1495', 'vi1507', 'vi1559', 'vi1575', 'vi1597', 'vi1599']",Course2_W2-S1-L1_Introduction_to_N-grams_8-41,"[7, 11, 12]","['vi17', 'vi43', 'vi49', 'vi55', 'vi74', 'vi136', 'vi139', 'vi146', 'vi149', 'vi173', 'vi180', 'vi199', 'vi225', 'vi259', 'vi271', 'vi360', 'vi444', 'vi491', 'vi528', 'vi596', 'vi623', 'vi632', 'vi747', 'vi751', 'vi796', 'vi825', 'vi838', 'vi877', 'vi878', 'vi888', 'vi889', 'vi894', 'vi932', 'vi941', 'vi957', 'vi967', 'vi1001', 'vi1024', 'vi1053', 'vi1063', 'vi1070', 'vi1081', 'vi1084', 'vi1122', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1218', 'vi1221', 'vi1231', 'vi1238', 'vi1286', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1416', 'vi1419', 'vi1421', 'vi1507', 'vi1559', 'vi1575']"
Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,"[7, 11, 12]","['vi17', 'vi43', 'vi55', 'vi83', 'vi99', 'vi117', 'vi136', 'vi139', 'vi146', 'vi149', 'vi173', 'vi199', 'vi271', 'vi311', 'vi388', 'vi401', 'vi444', 'vi481', 'vi491', 'vi502', 'vi557', 'vi580', 'vi623', 'vi632', 'vi747', 'vi751', 'vi796', 'vi838', 'vi878', 'vi896', 'vi932', 'vi941', 'vi957', 'vi1115', 'vi1145', 'vi1148', 'vi1160', 'vi1192', 'vi1218', 'vi1231', 'vi1262', 'vi1265', 'vi1299', 'vi1301', 'vi1309', 'vi1312', 'vi1333', 'vi1416', 'vi1419', 'vi1429', 'vi1449', 'vi1481', 'vi1507', 'vi1559', 'vi1575', 'vi1590']",Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,"[7, 11, 12]","['vi17', 'vi43', 'vi79', 'vi83', 'vi117', 'vi133', 'vi136', 'vi146', 'vi173', 'vi180', 'vi252', 'vi342', 'vi360', 'vi378', 'vi388', 'vi401', 'vi419', 'vi427', 'vi428', 'vi453', 'vi509', 'vi528', 'vi557', 'vi596', 'vi622', 'vi747', 'vi751', 'vi796', 'vi825', 'vi828', 'vi838', 'vi856', 'vi858', 'vi866', 'vi877', 'vi884', 'vi896', 'vi941', 'vi957', 'vi980', 'vi982', 'vi1001', 'vi1018', 'vi1074', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1214', 'vi1218', 'vi1231', 'vi1236', 'vi1238', 'vi1257', 'vi1262', 'vi1277', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1352', 'vi1395', 'vi1398', 'vi1399', 'vi1403', 'vi1416', 'vi1481', 'vi1490', 'vi1495', 'vi1507', 'vi1559', 'vi1575', 'vi1599', 'vi1611', 'vi1660']"
Course2_W2-S1-L1_Introduction_to_N-grams_8-41,"[7, 11, 12]","['vi17', 'vi43', 'vi49', 'vi55', 'vi74', 'vi136', 'vi139', 'vi146', 'vi149', 'vi173', 'vi180', 'vi199', 'vi225', 'vi259', 'vi271', 'vi360', 'vi444', 'vi491', 'vi528', 'vi596', 'vi623', 'vi632', 'vi747', 'vi751', 'vi796', 'vi825', 'vi838', 'vi877', 'vi878', 'vi888', 'vi889', 'vi894', 'vi932', 'vi941', 'vi957', 'vi967', 'vi1001', 'vi1024', 'vi1053', 'vi1063', 'vi1070', 'vi1081', 'vi1084', 'vi1122', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1218', 'vi1221', 'vi1231', 'vi1238', 'vi1286', 'vi1299', 'vi1309', 'vi1312', 'vi1333', 'vi1416', 'vi1419', 'vi1421', 'vi1507', 'vi1559', 'vi1575']",Course1_W1-S2-L5_Trigram_Language_Models_9-40,"[7, 11, 12]","['vi17', 'vi43', 'vi83', 'vi136', 'vi146', 'vi173', 'vi180', 'vi224', 'vi271', 'vi360', 'vi388', 'vi528', 'vi557', 'vi623', 'vi632', 'vi674', 'vi747', 'vi751', 'vi759', 'vi796', 'vi825', 'vi877', 'vi888', 'vi891', 'vi895', 'vi941', 'vi957', 'vi985', 'vi1001', 'vi1027', 'vi1148', 'vi1160', 'vi1167', 'vi1218', 'vi1231', 'vi1236', 'vi1238', 'vi1286', 'vi1299', 'vi1309', 'vi1312', 'vi1328', 'vi1333', 'vi1428', 'vi1449', 'vi1556', 'vi1575']"
Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,"[5, 9, 10]","['vi14', 'vi17', 'vi33', 'vi47', 'vi55', 'vi83', 'vi89', 'vi124', 'vi139', 'vi146', 'vi167', 'vi180', 'vi187', 'vi210', 'vi244', 'vi264', 'vi291', 'vi349', 'vi366', 'vi378', 'vi388', 'vi401', 'vi444', 'vi469', 'vi528', 'vi529', 'vi557', 'vi585', 'vi724', 'vi747', 'vi751', 'vi756', 'vi829', 'vi876', 'vi877', 'vi908', 'vi937', 'vi967', 'vi993', 'vi1001', 'vi1019', 'vi1063', 'vi1145', 'vi1148', 'vi1160', 'vi1167', 'vi1192', 'vi1210', 'vi1217', 'vi1218', 'vi1221', 'vi1226', 'vi1231', 'vi1232', 'vi1238', 'vi1255', 'vi1261', 'vi1262', 'vi1299', 'vi1332', 'vi1363', 'vi1464', 'vi1481', 'vi1490']",Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,"[4, 5, 10]","['vi17', 'vi33', 'vi70', 'vi124', 'vi146', 'vi178', 'vi180', 'vi187', 'vi195', 'vi242', 'vi264', 'vi291', 'vi330', 'vi378', 'vi381', 'vi388', 'vi407', 'vi469', 'vi528', 'vi557', 'vi578', 'vi717', 'vi747', 'vi751', 'vi877', 'vi1001', 'vi1019', 'vi1068', 'vi1148', 'vi1167', 'vi1192', 'vi1218', 'vi1221', 'vi1231', 'vi1238', 'vi1261', 'vi1277', 'vi1333', 'vi1429', 'vi1439', 'vi1518']"
