,entity1,entity2,cos_sim_score
0,Course1_W5-S2-L9_Summary_1-48,Course2_W7-S1-L3_The_Inverted_Index_10-42,-0.04871172410893441
1,Course1_W3-S1-L1_Introduction_0-28,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,0.6098686973046917
2,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,0.5440541262713519
3,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,0.5363232738313612
4,Course1_W4-S2-L1_Introduction_00-17,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,0.5051688148393851
5,Course1_W8-S2-L6_Summary_1-12,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,-0.25937436178898554
6,Course1_W10-S1-L1_Introduction_1-02,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,0.4756081391847974
7,Course2_W7-S1-L3_The_Inverted_Index_10-42,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,0.41176830752245763
8,Course1_W5-S2-L9_Summary_1-48,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,-0.04044182673042007
9,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,0.29682410007971516
10,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,0.4466299643460223
11,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,0.129509374844651
12,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course1_W10-S1-L1_Introduction_1-02,0.4763617460998558
13,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,Course1_W10-S1-L1_Introduction_1-02,0.5316768569467868
14,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course1_W8-S2-L6_Summary_1-12,-0.25937436178898554
15,Course1_W3-S1-L1_Introduction_0-28,Course1_W8-S2-L6_Summary_1-12,-0.36091631065006724
16,Course1_W8-S2-L1_Introduction_0-47,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,0.5270227031899918
17,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,0.4881553018629522
18,Course1_W4-S2-L1_Introduction_00-17,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,0.4434565969472007
19,Course1_W5-S2-L9_Summary_1-48,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,0.2519668090619835
20,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,0.5687823397621234
21,Course1_W8-S2-L1_Introduction_0-47,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,0.5063745078728447
22,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,0.30907464567518933
23,Course1_W3-S1-L1_Introduction_0-28,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,0.08234462283582528
24,Course1_W8-S2-L1_Introduction_0-47,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,0.5803780251532021
25,Course1_W3-S1-L1_Introduction_0-28,Course1_W8-S2-L1_Introduction_0-47,0.6659805450045215
