,entity1,entity2,cos_sim_score
0,Course1_W5-S2-L9_Summary_1-48,Course2_W7-S1-L3_The_Inverted_Index_10-42,0.11441585707587647
1,Course1_W3-S1-L1_Introduction_0-28,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,0.8481958708856706
2,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,0.8450598358932655
3,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,0.764114544072992
4,Course1_W4-S2-L1_Introduction_00-17,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,0.7607766626556274
5,Course1_W8-S2-L6_Summary_1-12,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,0.0550522521615842
6,Course1_W10-S1-L1_Introduction_1-02,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,0.7977485737237887
7,Course2_W7-S1-L3_The_Inverted_Index_10-42,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,0.5090938501476153
8,Course1_W5-S2-L9_Summary_1-48,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,0.22785753997701047
9,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,0.7879109149446912
10,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,0.7332311311231827
11,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,-0.05261841847106918
12,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course1_W10-S1-L1_Introduction_1-02,0.758045311083641
13,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,Course1_W10-S1-L1_Introduction_1-02,0.802433390826798
14,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course1_W8-S2-L6_Summary_1-12,0.0550522521615842
15,Course1_W3-S1-L1_Introduction_0-28,Course1_W8-S2-L6_Summary_1-12,0.2931967814749799
16,Course1_W8-S2-L1_Introduction_0-47,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,0.6208947031521457
17,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,0.8365306111538311
18,Course1_W4-S2-L1_Introduction_00-17,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,0.6995570892037692
19,Course1_W5-S2-L9_Summary_1-48,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,0.17333808725529865
20,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,0.8845690152311726
21,Course1_W8-S2-L1_Introduction_0-47,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,0.6650139940454721
22,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,0.6412533710220928
23,Course1_W3-S1-L1_Introduction_0-28,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,0.04038841706584551
24,Course1_W8-S2-L1_Introduction_0-47,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,0.6969093241478848
25,Course1_W3-S1-L1_Introduction_0-28,Course1_W8-S2-L1_Introduction_0-47,0.8096219105741209
